医院名称,等级,分类,科室,医生,主任医师,副主任医师,主治医师,医院地址1,医院地址2,床位数,日门诊量,建院时间,医院简介,徽标,Y,X
北京协和医院,三级甲等,中国医科院所属医院,51,1409,401,288,720,北京市东城区东单帅府园1号,北京市西城区大木仓胡同41号,2000,12000,1921,北京协和医院是集医疗、教学、科研于一体的大型三级甲等综合医院，是北京协和医学院的临床学院、中国医学科学院的临床医学研究所，是卫生部指定的全国疑难重症诊治指导中心，也是最早承担干部保健和外宾医疗的医院之一。,http://pimg.39.net//PictureLib/A/f4/c3//org/13417024519461.jpg,39.9121437070005,116.414176941
中国人民解放军总医院,三级甲等,驻京部队医院,53,1263,379,455,429,北京市海淀区复兴路28号,,3400,9315,1953,国人民解放军总医院(301医院)创建于1953年，是集医疗、保健、教学、科研于一体的大型现代化综合性医院。,http://pimg.39.net//PictureLib/A/f4/c3/20130608/m/71068.jpg,39.9069480900005,116.278099060001
北京大学第三医院,三级甲等,北京大学附属医院,50,681,269,254,158,北京市海淀区花园北路49号 ,,1463,9589,1958,北京大学第三医院(简称“北医三院”)始建于1958年，是卫生部部管的集医疗、教学、科研和预防保健为一体的现代化综合性三级甲等医院。现有在职职工2447人，开放床位1463张。医院设有34个临床科室、11个医技科室。拥有28个博士点、1个临床博士后流动站。在岗博士生导师55人，中科院院士1人、国家自然科学基金杰出青年基金获得者1人、科技部“973”首席科学家1人、教育部 “长江学者特聘教授”2人，1人入选国家级“新世纪百千万人才工程”。,http://images.guahao114.com/img/142.jpg,39.9823951720004,116.359344482001
首都医科大学附属北京同仁医院,三级甲等,北京市卫生局直属医院,48,625,254,184,187,北京市东城区东交民巷1号,北京市东城区崇文门内大街8号,860,4250,1886,首都医科大学附属北京同仁医院创建于1886年(清光绪12年)，是一所以眼科、耳鼻咽喉科和心血管疾病诊疗为重点的大型综合性医院。“同仁”字号和图徽是国家商标局认定的国内医疗服务业首家驰名商标。,http://images.guahao114.com/img/105.jpg,39.9031715390005,116.417816162001
首都医科大学附属北京儿童医院,三级甲等,北京市卫生局直属医院,28,443,161,140,142,北京市西城区南礼士路56号,,970,6301,1942,首都医科大学附属北京儿童医院的前身是我国现代儿科医学奠基人诸福棠院士于1942年创建的北平私立儿童医院，至今已有71年历史。北京儿童医院是集医疗、科研、教学、保健于一体的儿科医学基地，是我国目前规模最大的三级甲等综合性儿科医院。,http://pimg.39.net//PictureLib/A/f4/c3//org/13417024512195.jpg,39.9121284480005,116.355026245001
阜外心血管病医院,三级甲等,中国医科院所属医院,28,397,164,138,95,北京市西城区北礼士路167号,,967,342,1956,阜外心血管病医院始建于1956年，是国家级三级甲等心血管专科医院，还是国内唯一一家集医疗、科研、预防和人才培养于一体的国家级心血管病的医疗诊治、医学教育和医学研究中心。,http://images.guahao114.com/img/4.jpg,39.9246368410004,116.352005005001
中日友好医院,三级甲等,卫生部直属医院,63,720,283,198,239,北京市朝阳区樱花园东街2号,,1500,6100,1984,"中日友好医院于1984年10月23日开院，位于北京市朝阳区樱花园东街2号，建筑面积20余万平方米(含在建面积)，现编制床位1500张，设有68个临床、医技科室，附设中日友好临床医学研究所及培训中心。医院集医疗、教学、科研、康复和预防保健等多项功能为一体，同时承担中央保健医疗康复任务、涉外医疗任务,以及国家卫生应急队伍基地医院中央本级单位建设的重任。",http://pimg.39.net//PictureLib/A/f4/c3//org/13417024443616.jpg,39.9744071960005,116.425788879001
北京大学人民医院,三级甲等,北京大学附属医院,46,613,245,249,119,北京市西城区西直门南大街11号,北京市西城区阜内大街133号,1700,6669,1918,北京大学人民医院创建于1918年，是中国人自行筹资建设和管理的第一家综合性西医医院，最初命名为“北京中央医院”，中国现代医学先驱伍连德博士任首任院长。,http://pimg.39.net//PictureLib/A/f4/c3//org/13417024508601.jpg,39.9366188050005,116.353889465001
中国中医科学研究院广安门医院 ,三级甲等,中国中医科学院,29,409,165,145,99,北京市西城区广安门内北线阁5号,西城区白纸坊东街27号,649,7200,1955,中国中医科学院广安门医院(暨中国中医科学院第二临床医药研究所)始建于1955年，是国家中医药管理局直属的集医疗、教学、科研和预防保健为一体的三级甲等中医医院，是中央干部保健基地，全国“示范中医医院”， 2008北京奥运会和残奥会定点医院，北京市医疗保险A类定点医院，首都文明单位标兵，中央国家机关文明单位标兵，首都卫生系统文明单位标兵，中央国家机关平安先进单位，ISO9001质量管理认证单位，还是世界卫生组织传统医学合作中心组成单位，国家食品药品监督管理局国家药物临床实验机构，卫生部西医学习中医教学基地，国家中医药管理局批准的全国中医肿瘤医疗中心和全国中医糖尿病专病及中医肛肠病专病中心以及中医急诊基地建设单位，国家中医药管理局中医药重点学科(中医肿瘤病学、中医内分泌病学、中医肛肠病学、中医心病学、中医心理学、中医痹病学)及肿瘤扶正培本重点研究室建设单位，国家中医药管理局和北京市中医管理局指定为中医药治疗艾滋病定点医院以及北京市艾滋病抗病毒治疗承担单位。承担四所高等中医药大学的临床带教任务。,http://pimg.39.net//PictureLib/A/f4/c3//org/13417024513539.jpg,39.9122123720005,116.365676880001
首都医科大学附属北京中医医院,三级甲等,北京市卫生局直属医院,32,368,180,125,63,北京市东城区美术馆后街23号,,597,6000,1956,首都医科大学附属北京中医医院始建于1956年，是北京市唯一的一所市属综合性、现代化三级甲等中医医院。承担着北京市中医医疗、教学、科研、预防等任务。医院下设北京市中医研究所、北京市国际针灸培训中心。,http://pimg.39.net//PictureLib/A/f4/c3/20130618/m/71340.jpg,39.9317436220004,116.408226013001
首都医科大学附属北京天坛医院,三级甲等,北京市卫生局直属医院,35,676,183,225,268,北京市东城区天坛西里6号,,950,1500,1956,首都医科大学附属北京天坛医院始建于 1956年8月23日，座落在世界著名的天坛公园西南侧，是一所以神经科为重点的三级甲等大型综合医院。1997年由中国医学科学院与北京市卫生局共建成为中国医学科学院北京天坛医院和中国医学科学院神经科学研究所。北京市神经外科研究所、北京天坛医学影像中心、北京市伽玛刀治疗研究中心、北京神经外科学院、首都医科大学第五临床医学院、北京市脑血管病抢救治疗中心和全国脑血管病防治研究办公室、北京市脑防办同设在院内。北京天坛医院和北京市神经外科研究所是世界三大神经外科研究中心之一、亚洲最大的神经外科临床、科研、教学基地和WHO在中国的神经科学培训合作中心。,http://images.guahao114.com/img/100.jpg,39.8769340520005,116.402328491001
北京大学第一医院 ,三级甲等,北京大学附属医院,42,794,252,235,307,北京市西城区西什库大街8号,,1500,7000,1915,北京大学第一医院(简称“北大医院”)位于北京老皇城内，是距离中南海最近的医院，是一所融医疗、教学、科研、预防为一体的大型综合性三级甲等医院。,http://pimg.39.net//PictureLib/A/f4/c3//org/13417024507335.jpg,39.9306030270005,116.379959106001
首都医科大学附属北京安贞医院,三级甲等,北京市卫生局直属医院,42,417,157,185,75,北京市朝阳区安贞路2号,,1062,3964,1984,北京安贞医院成立于1984年4月，北京市心肺血管疾病研究所成立于1981年9月，二者为一个医疗科研联合体，集医疗、教学、科研、预防、国际交流五位一体，是以治疗心肺血管疾病为重点的大型三级甲等综合性医院。北京安贞医院是首都医科大学第六临床医学院，全院职工在以吴英恺、孙衍庆、张兆光、魏永祥为院长的四届院领导带领下，始终把握世界先进医学脉搏，不断改革、创新，实现了跨越式发展。,http://pimg.39.net//PictureLib/A/f4/c3//org/13417024444475.jpg,39.9729690550005,116.404579163001
北京积水潭医院,三级甲等,北京市卫生局直属医院,44,413,129,153,131,北京市西城区新街口东街31号,,1500,3000,1956,北京积水潭医院是一家王府花园式医院。这里曾是元代大运河终点上樯帆林立的码头——“积水潭港”，也是清朝延续了二百年的“棍贝子府”。,http://images.guahao114.com/img/103.jpg,39.9444007870005,116.376396179001
中国中医科学院西苑医院,三级甲等,中国中医科学院,34,342,152,122,68,北京市海淀区西苑操场1号,,569,4000,1955,中国中医科学院西苑医院(简称“西苑医院”)位于北京市著名风景文化游览区海淀区，与世界最大的皇家园林—颐和园比邻而建，占地面积6万多平米，建筑面积10万多平米。医院拥有3个国家临床重点专科，分别为血液病科、心血管病科、脾胃病科等以及国家中医药管理局重点专科14个，包括心血管病科、脾胃病科、老年病科、血液病科、肺病科、肿瘤科、脑病科、肾病科、肝病科、皮肤病科、重症医学科、耳鼻喉科、预防保健科、护理学等。是中国中西医结合学会神经内科、血液学专业委员会、中国中西医结合学会养生学与康复医学专业委员会专业分会的主任委员单位和《中国中西医结合杂志》的挂靠单位，是卫生部“西学中班”培训基地。,http://pimg.39.net//PictureLib/A/f4/c3/20130608/m/71070.jpg,40.0269203190004,116.233215332001
首都医科大学附属北京妇产医院 ,三级甲等,北京市卫生局直属医院,21,268,98,66,104,北京市朝阳区姚家园路251号,北京市东城区骑河楼17号,660,2795,1959,首都医科大学附属北京妇产医院 北京妇幼保健院创建于1959年6月，其前身是直属中央卫生部的北京妇幼保健实验院。经过50年的建设和发展，目前已发展成为集医疗、保健、教学、科研为一体，以诊治妇产科常见病、多发病和疑难病症为重点的国内知名的三级甲等妇产专科医院。我国著名妇产科专家林巧稚是首任院长。1984年被世界卫生组织(WHO)批准为围产保健研究和培训合作中心，1999年更名为WHO母婴和妇女保健研究及培训中心，1992年成为我国首批符合国际标准的爱婴医院之一，1994年被首都医科大学批准为首都医科大学附属北京妇产医院，同年建立了妇产科学硕士研究生培养点，2002年成为首都医科大学妇产科博士生培养点，2005年首批通过技术准入，成立遗传诊断研究中心、北京市产前诊断中心，2008年成为北京市中医药管理局中西医结合妇科重点学科，2008年成为北京地区专科医师妇产科专业临床技能培训考核中心，2010年产科、妇科系列(妇科、妇科微创中心、妇科肿瘤科、计划生育科、生殖医学科、妇科内分泌科、妇科中医科、乳腺科)成为卫生部临床重点专科建设单位。,http://pimg.39.net//PictureLib/A/f4/c3//org/13417024445991.jpg,39.9313468930004,116.471122742001
首都医科大学附属北京朝阳医院,三级甲等,北京市卫生局直属医院,46,521,197,229,95,北京市朝阳区工人体育场南路8号,北京市石景山区京原路5号,1910,6849,1958,首都医科大学附属北京朝阳医院创建于1958年2月24日，是北京市卫生局直属医院，是集医疗、教学、科研、预防为一体的三级甲等医院，是首都医科大学第三临床医学院，也是北京市医疗保险A类定点医疗机构。2004年年底，中铁建总医院正式划转北京市并入我院，正式命名为北京朝阳医院京西院区。,http://pimg.39.net//PictureLib/A/f4/c3//org/13417024444084.jpg,39.9258079530005,116.453399658001
北京大学口腔医院 ,三级甲等,北京大学附属医院,15,326,121,85,120,北京市海淀区中关村南大街22号,,157,3205,1941,北京大学口腔医学院始建于1941年，是集北京大学口腔医学院、口腔医院和口腔医学研究所为一体的医疗机构，长期以来承担着向社会提供口腔医疗保健服务和口腔教学、医学研究的重任。拥有诸多国内外著名的口腔医学专家，为我国口腔界培养了一批批高素质、高层次专业人才，成为我国重要的口腔医学研究基地之一，是我国口腔医学对外交流的重要窗口。,http://images.guahao114.com/img/133.jpg,39.9522361760005,116.324943542001
北京中医药大学东直门医院,三级甲等,北京中医药大学,31,358,161,106,91,北京市东城区海运仓5号,北京市通州区翠屏西路116号,862,3992,1958,北京中医药大学东直门医院创建于1958年，是一所集医疗、教学、科研为一体的大型综合性中医院。是全国唯一一所进入国家“211工程”建设的高等中医药院校——北京中医药大学的第一临床医学院，并率先成为全国示范中医医院、三级甲等中医院和国家食品药品监督管理局认定的国家药物临床试验机构。是北京市医疗保险定点医疗机构，民政部“明天计划”脑瘫患儿手术康复和“点燃心希望”先心病治疗定点医院。2010年，医院被确立为“国家中医药发展综合改革试验区”建设示范基地和战略合作签约单位。2011年8月6日，原通州区中医医院与我院整合，并正式命名为北京中医药大学东直门医院东区。医院开创性地于1991年最早在欧洲建立了分院——德国魁茨汀医院，作为重要的中医药国际交流窗口，载入中德外交史册。,http://pimg.39.net//PictureLib/A/f4/c3/20131121/m/173977.jpg,39.9340629580005,116.427818298001
首都医科大学附属宣武医院,三级甲等,北京市卫生局直属医院,36,491,174,180,137,北京市西城区长椿街45号,,1380,5000,1958,首都医科大学宣武医院坐落于古都北京宣武区长椿街、明代万历帝敕建皇家寺院——长椿寺旁，1958年9月1日创建，是一所以神经科学和老年医学的临床和研究为重点，以治疗心脑血管疾患为特色，承担医疗、教育、科研、预防、保健和康复任务的大型三级甲等综合医院。,http://pimg.39.net//PictureLib/A/f4/c3/20131128/m/176133.jpg,39.8920745850005,116.362144470001
中国医学科学院肿瘤医院 ,三级甲等,中国医科院所属医院,28,294,158,110,26, 北京市朝阳区潘家园南里17号,,1198,1644,1958,中国医学科学院肿瘤医院肿瘤研究所，始建于1958年，原名日坛医院，1963年增设肿瘤研究所，此后又相继建立了河南林州、江苏启东等肿瘤高发防治现场。1983年迁至北京市东南龙潭湖畔，正式更名为中国医学科学院肿瘤医院肿瘤研究所，1996年通过三级甲等医院评审。院所是建国以来第一个肿瘤专科医院，是亚洲地区最大的肿瘤防治研究中心，也是国家药品监督管理局国家药品临床研究基地。院所集肿瘤医疗、科研、教学为一体，全方面进行肿瘤的预防、诊断及治疗的研究。,http://pimg.39.net//PictureLib/A/f4/c3//org/13417024445663.jpg,39.8726425170005,116.447593689001
北京大学第一医院,三级甲等,北京大学附属医院,18,159,69,40,50,北京市西城区西什库大街8号,,1500,7000,1915,北大医院创建于1915年，北大医院前身为民国教育部批准北京医科专门学校设立附属诊察所;1946年随北京医学院与北京大学合并，由此得名“北大医院”;2000年北京大学与北京医科大学两校再次合并，医院随之更名为“北京大学第一医院”。,http://images.guahao114.com/img/14.jpg,39.9306030270005,116.379959106001
中国人民解放军总医院第一附属医院,三级甲等,驻京部队医院,35,308,63,135,110,北京市海淀区阜城路51号,,1100,135,1954,"解放军总医院第一附属医院(原304医院)始建于1954年3月，是一所以医教研相结合、创(烧)伤外科、骨科、急救医学和危重症救治为主要特色的三级甲等综合性医院。医院始终坚持“适度规模，内涵发展，突出特色，精字建院”的发展思路,努力建设一流的现代化医院 ",http://pimg.39.net//PictureLib/A/f4/c3/20130608/m/71071.jpg,39.9244041440004,116.304824829001
北京医院 ,三级甲等,卫生部直属医院,35,522,225,132,165,北京市东城区东单大华路1号,,1100,132,1905,北京医院的前身是德国医院，始建于1905年。现为三级甲等医院，是中央的干部保健基地。北京医院是一所以高干医疗保健为中心、老年医学研究为重点 、向社会全面开放的融医疗、教学、科研、预防为一体的现代化大型综合性医院。,http://pimg.39.net//PictureLib/A/f4/c3//org/13417024521820.jpg,39.9031562810004,116.415985107001
北京大学肿瘤医院,三级甲等,北京市卫生局直属医院,44,269,75,89,105,北京市海淀区阜成路52号,,700,767,1976,北京大学肿瘤医院(北京肿瘤医院、北京大学临床肿瘤学院、北京市肿瘤防治研究所)始建于1976年，是集医、教、研于一体，预防、治疗、康复相结合的肿瘤防治研究中心。,http://pimg.39.net//PictureLib/A/f4/c3//org/13417024459866.jpg,39.9224853520005,116.28842926
中国人民解放军空军总医院,三级甲等,驻京部队医院,51,337,113,154,70,北京市海淀区阜成路30号,,1059,3562,1956,空军总医院创建于1956年10月，1994年被总后卫生部评定为“三级甲等医院”，1996年、1998年先后被国家卫生部、总后卫生部确定为全国、全军临床药理基地。,http://pimg.39.net//PictureLib/A/f4/c3//org/13417024456913.jpg,39.9235115050005,116.302650452001
首都医科大学附属北京世纪坛医院,三级甲等,北京市卫生局直属医院,49,336,96,163,77,北京市海淀区羊坊店铁医院路10号,,1008,3000,1915,首都医科大学附属北京世纪坛医院、首都医科大学肿瘤医学院，前身为创建于1915年4月的“京汉铁路医院”，已有96年院史。解放后相继名为“北京铁道医学院附属医院”、“铁道部北京铁路总医院”。2004年由铁道部移交北京市政府，更名为“北京世纪坛医院”。2011年3月25日正式挂牌为“首都医科大学附属北京世纪坛医院”和“首都医科大学肿瘤医学院”，标志着医院进入了一个新的历史发展阶段。,http://pimg.39.net//PictureLib/A/f4/c3//org/13417024454678.jpg,40.0269203190004,116.233215332001
首都医科大学附属北京友谊医院,三级甲等,北京市卫生局直属医院,33,405,189,176,40,北京市西城区永安路95号,,1256,8000,1952,首都医科大学附属北京友谊医院原名为北京苏联红十字医院，始建于1952年。是新中国成立后，在苏联政府和苏联红十字会援助下，由中国政府建立的第一所大医院。1954年，医院从甘水桥旧址迁入现址。毛泽东主席、刘少奇副主席、周恩来总理、朱德委员长特为医院亲笔题词。1957年3月，苏联政府将医院正式移交我国，周总理亲自来院参加了移交仪式。1970年，周总理亲自为医院定名为“北京友谊医院”。,http://pimg.39.net//PictureLib/A/f4/c3/20131130/m/176678.jpg,39.8859367370005,116.392356873001
北京军区总医院,三级甲等,驻京部队医院,46,400,113,151,136,北京市东城区东四十条南门仓5号,北京市东三环麦子店,1600,4000,1913,北京军区总医院成立于1913年，是一所历史悠久、设备精良、技术领先，集预防、保健、医疗、科研、教学、康复为一体的大型三级甲等综合医院。,http://images.guahao114.com/img/152.jpg,39.9336318970004,116.425270081001
中国人民解放军第三〇二医院,三级甲等,驻京部队医院,19,166,53,58,55,北京市丰台区西四环中路100号,,1100,58,1954,医院前身是解放战争时期的“中共中央直属机关医院”，1954年7月正式命名为“中国人民解放军第三〇二医院”。现展开床位1100余张，编设31个临床、医技科室。主要承担驻京部队的传染病收治、全军疑难重症传染病会诊、转诊以及反恐和应对突发公共卫生事件的应急处置等任务，是全军传染病肝病保健专科医院。拥有8个省部级重点学(专)科，是传染病学硕士、博士学位授权点和博士后流动站，是北京大学等军地十余所院校的教学实习医院和全军传染病防治技术临床培训基地。,http://images.guahao114.com/img/158.jpg,39.8849029540005,116.275802612001
首都儿科研究所附属儿童医院 ,三级甲等,北京市卫生局直属医院,24,186,104,60,22,北京市朝阳区雅宝路2号,北京市月坛南街1号,400,5886,1958,首都儿科研究所的前身是中国医学科学院儿科研究所，成立于1958年，是新中国第一家以医学基础研究、儿科疾病发病机理研究、儿童保健为重点，承担有医疗、教学和预防任务的应用医学研究机构。研究所于1983年隶属北京市，1986年建立附属儿童医院。,http://pimg.39.net//PictureLib/A/f4/c3//org/13417024446819.jpg,39.9151191710005,116.438049316001
武警总医院,三级甲等,驻京武警医院,47,348,99,128,121,北京市海淀区永定路69号,,1360,4500,1937,武警总医院目前已发展成为集医疗、保健、教学、科研、救援于一体的大型现代化综合性三级甲等医院，展开床位1360张，设置专业科室82个。拥有各类专家 450余名，博士、硕士生导师74名，博士和博士后高学历人才120余名;先后有115名专家获得国务院政府特殊津贴和军队优秀人才岗位津贴，4人被授予 “有突出贡献的中青年专家”，2人当选为武警部队第十三届“中国武警十大忠诚卫士”，2人被授予“全军专业技术重大贡献奖”，2人为中央保健委员会成员，1人荣获第四十三届南丁格尔奖。,http://pimg.39.net//PictureLib/A/f4/c3//org/13417024454007.jpg,39.9086227420005,116.264930725001
